日付,コ_ド,_柄名,市_·商品区分,33__コ_ド,33__区分,17__コ_ド,17__区分,_模コ_ド,_模区分
20220729,6332,月__械,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6333,帝国___作所,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6334,明治_械,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6335,_京_械_作所,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6336,石井表_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6337,テセック,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6338,タカトリ,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6339,新_工_,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6340,_谷工_,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6342,太平_作所,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6343,フリ_ジア·マクロス,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6345,アイチ　コ_ポレ_ション,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6346,キクカワエンタ_プライズ,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6347,プラコ_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6349,小森コ_ポレ_ション,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6351,___作所,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6355,住友精密工_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6356,日本ギア工_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6357,三精テクノロジ_ズ,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6358,酒井重工_,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6360,_京自__械_作所,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6361,荏原_作所,プライム（内国株式）,3600,_械,8,_械 ,4,TOPIX Mid400
20220729,6362,石井_工所,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6363,酉__作所,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6364,北越工_,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6365,__社_械_作所,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6366,千代田化工建_,スタンダ_ド（内国株式）,2050,建__,3,建_·_材 ,-,-
20220729,6367,ダイキン工_,プライム（内国株式）,3600,_械,8,_械 ,1,TOPIX Core30
20220729,6368,オルガノ,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
